time,open,high,low,close,tick_volume
2026.04.09 16:00,4745.88,4800.94,4738.57,4788.69,91168
2026.04.09 20:00,4788.74,4801.14,4760.82,4765.48,55702
2026.04.10 00:00,4766.5,4780.33,4750.62,4762.62,23879
2026.04.10 04:00,4762.64,4776.92,4737.89,4758.46,52193
2026.04.10 08:00,4758.5,4769.04,4730.49,4740.57,48685
2026.04.10 12:00,4740.62,4782.14,4740.52,4771.62,50496
2026.04.10 16:00,4771.65,4794.98,4747.47,4763.67,85137
2026.04.10 20:00,4763.75,4773.12,4741.03,4749.21,43314
2026.04.13 00:00,4690.26,4698.31,4643.71,4695.46,49926
2026.04.13 04:00,4694.66,4727.94,4693.62,4722.98,62760
2026.04.13 08:00,4723.04,4739.88,4716.27,4723.18,61441
2026.04.13 12:00,4723.17,4728.99,4703.51,4723.34,53524
2026.04.13 16:00,4723.26,4746.04,4700.19,4732.94,95723
2026.04.13 20:00,4732.95,4750.02,4723.15,4740.04,47959
2026.04.14 00:00,4744.11,4775.61,4744.11,4769.81,28316
2026.04.14 04:00,4769.79,4777.16,4761.64,4774.04,45722
2026.04.14 08:00,4774.05,4796.17,4757.85,4786.74,58291
2026.04.14 12:00,4786.86,4789.15,4752.23,4771.19,53172
2026.04.14 16:00,4771.21,4820.16,4770.94,4810.07,84353
2026.04.14 20:00,4810.04,4846.16,4809.36,4841.53,45161
2026.04.15 00:00,4840.29,4850.74,4827.15,4835.28,30865
2026.04.15 04:00,4835.27,4871.17,4816.83,4824.88,57348
2026.04.15 08:00,4824.95,4830.19,4803.94,4818.35,55991
2026.04.15 12:00,4818.32,4819.4,4786.08,4811.49,60705
2026.04.15 16:00,4811.4,4830.38,4786.88,4803.76,80280
2026.04.15 20:00,4803.74,4808.61,4787.62,4790.56,44214
2026.04.16 00:00,4792.78,4837.52,4790.76,4832.97,27974
2026.04.16 04:00,4832.89,4836.22,4811.17,4832.93,44478
2026.04.16 08:00,4833.02,4838.2,4806.54,4813.73,55013
2026.04.16 12:00,4813.71,4822.98,4804.98,4816.07,45477
2026.04.16 16:00,4816.09,4823.86,4773.02,4791.77,89459
2026.04.16 20:00,4791.9,4798.44,4781.16,4790.57,49049
2026.04.17 00:00,4792.27,4801.06,4785.76,4794.75,23512
2026.04.17 04:00,4794.74,4804.41,4767.56,4802.86,46964
2026.04.17 08:00,4802.78,4806.11,4778.51,4795.71,45534
2026.04.17 12:00,4795.7,4847.57,4782.12,4846.16,49543
2026.04.17 16:00,4846.15,4889.24,4834.75,4866.82,99945
2026.04.17 20:00,4866.84,4869.45,4829.82,4832.88,64738
2026.04.20 00:00,4792.25,4794.37,4736.73,4772.27,47244
2026.04.20 04:00,4772.18,4814.22,4771.14,4788.79,51199
2026.04.20 08:00,4788.73,4805.57,4779.55,4796.06,56479
2026.04.20 12:00,4796.09,4822.01,4783.29,4803.24,48041
2026.04.20 16:00,4803.25,4827.47,4792.54,4805.45,82670
2026.04.20 20:00,4805.59,4821.8,4803.72,4820.51,40355
2026.04.21 00:00,4822.22,4833.08,4816.75,4823.9,29037
2026.04.21 04:00,4823.84,4824.36,4788.61,4789.04,43327
2026.04.21 08:00,4789.16,4796.93,4772.6,4785.82,55291
2026.04.21 12:00,4785.81,4797.87,4766.28,4778.64,47938
2026.04.21 16:00,4778.59,4794.21,4708.12,4710.91,100006
2026.04.21 20:00,4710.98,4722.01,4668.29,4719.88,86493
2026.04.22 00:00,4720.87,4747.32,4715.48,4739.77,28379
2026.04.22 04:00,4739.76,4764.94,4735.88,4754.45,41757
2026.04.22 08:00,4754.44,4772.12,4751.66,4756.84,47968
2026.04.22 12:00,4756.86,4762.32,4742.77,4744.09,43373
2026.04.22 16:00,4744.13,4760.78,4723.72,4728.5,81618
2026.04.22 20:00,4728.51,4749.27,4728.38,4739.96,43495
2026.04.23 00:00,4741.69,4753.37,4693.89,4747.95,36467
2026.04.23 04:00,4747.62,4749.74,4698.04,4704.21,63135
2026.04.23 08:00,4704.15,4724.76,4692.46,4703.19,53039
2026.04.23 12:00,4703.16,4742.97,4684.13,4739.93,54267
2026.04.23 16:00,4740.06,4741.11,4715.42,4732.86,77419
2026.04.23 20:00,4732.92,4734.4,4664.08,4694.3,82492
2026.04.24 00:00,4700.85,4707.71,4686.73,4704.45,30833
2026.04.24 04:00,4704.46,4710.92,4657.5,4674.35,52809
