server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.03.26,2026.04.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.04.25,2026.05.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.05.25,2026.06.01,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.06.24,2026.07.01,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.07.24,2026.07.31,3132964,2026.07.24 01:00:02,2026.07.30 23:58:59,0
XMGlobal-MT5 10,345277936,DEMO,GOLD24-7,2026.08.23,2026.08.30,2435370,2026.08.23 00:45:16,2026.08.30 00:44:12,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2023.09.08,2023.09.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2023.10.08,2023.10.15,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2023.11.07,2023.11.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2023.12.07,2023.12.14,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.01.06,2024.01.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.02.05,2024.02.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.03.06,2024.03.13,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.04.05,2024.04.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.05.05,2024.05.12,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.06.04,2024.06.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.07.04,2024.07.11,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.08.03,2024.08.10,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.09.02,2024.09.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.10.02,2024.10.09,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.11.01,2024.11.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.12.01,2024.12.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2024.12.31,2025.01.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.01.30,2025.02.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.03.01,2025.03.08,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.03.31,2025.04.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.04.30,2025.05.07,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.05.30,2025.06.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.06.29,2025.07.06,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.07.29,2025.08.05,0,-,-,0
